YPLLRate,HealthPoorPct,LBWPct,ObeseAdultsPct,DrinkExcPct,HSGradRate,UnemployedPct,ViolsCrimeAnlAvg,WaterViol,DistressFreqPhysPct,HIVRate,FoodHealthLimAccPct,IncHousehldMedian,HomeownersPct
3206.631804,10.57673869,5.788548468,16.6,20.2981286,87.12091375,2.383230223,464.5,No,8.901884724,355.3,1.705931868,122933,63.84312831
8231.044874,13.71595676,7.183908046,23.8,18.76973049,85.84070797,5.298186089,75.5,No,10.66626309,135.6,6.126659414,51402,68.96103896
7749.67295,16.50722914,6.377014716,32.1,18.97486116,83.54066986,3.938058668,559,Yes,12.09243793,227.3,6.759361803,51386,59.17571135
6775.743705,22.70947494,6.276570007,28.4,18.61168181,88.48202397,8.295785388,1486.5,Yes,13.74096562,121.2,7.332366734,56169,51.97849408
3369.601629,13.81194252,8.173562059,25.4,22.5441579,36.30136986,3.847958705,36.5,Yes,10.21400197,49.3,15.06029567,66499,62.18279348
5175.919287,21.68177363,6.106210785,27.7,19.16487141,84.70609913,6.269386808,1827.5,Yes,12.50450552,192.2,3.473681125,69665,51.05988005
4646.085746,14.12167196,6.08588199,23.8,20.17622332,86.95136418,2.925671053,566,Yes,9.665194831,227.4,2.319240102,85624,63.74612498
5835.239911,11.94355137,5.752990852,22,20.82297497,49.96993385,3.466339267,260,Yes,10.21036392,117.2,6.772804953,66681,74.33502836
4199.136631,13.90237777,6.207143238,19.4,19.9251247,89.18323881,2.924833244,6766,No,9.249026068,246.5,0.891139214,89373,57.36967162
4522.694967,10.64040164,5.691687345,20.8,19.61832741,90.4753762,3.151506644,609,Yes,8.9374418,100.5,3.024821566,89175,71.59056171
8700.676022,13.76108882,9.33572711,26.9,19.34856664,80.72289157,7.49235474,105.5,No,10.70504226,108.9,2.336625154,55079,72.92158568
5796.962999,17.05947574,6.751490524,27.1,20.43944116,88.87535646,4.376535078,6853.5,Yes,11.84949199,385.2,6.848193267,66793,65.76204603
6339.749651,15.80089097,6.888901948,28.9,19.95329848,81.03384938,3.7931316,7593,No,11.22637565,328.9,4.422630799,69475,55.98241886
5148.181035,17.45997289,6.361520559,32.3,20.73269584,90.24676851,5.056853154,175.5,Yes,10.91053219,82.6,3.129928639,80063,63.49492672
6762.551474,19.83756058,7.348632583,28.8,18.76327985,83.37674419,4.035149787,9375,Yes,12.17570892,224.7,8.004312443,63310,59.26426305
4641.05997,14.45889521,6.553689612,20.3,21.60061255,81.07101111,3.307576406,10772,Yes,10.58489796,454.6,3.074440164,78777,53.07422832
4269.700418,11.4775591,6.98294158,18.4,23.11654878,71.39466959,2.353331584,6545.5,No,8.836820274,1589.5,0.321952681,110601,37.61055181
7155.224294,17.34211267,7.256659909,32.7,19.69440123,81.72712735,5.996255978,5675.5,Yes,11.06357579,214.4,4.76940556,63567,55.61622568
